266;Raili Karin Helena Halttu (-Renkonen);F
267;"Robert Hudson ""Bob"" Backus";M
268;Vctor Hugo Campos;M
269;Hodei Mazquiarn Uria;M
270;Martijn Dieleman;M
271;Bonka Dimova (-Peneva);F
272;Huh Yun-Jeong;M
273;"William Ian McCalla ""Bill"" Copeland";M
274;Edward Jurkiewicz;M
275;Mehdi Monajati;M
276;Yevgeny Aleksandrovich Kovalyov;M
277;Judith Herczig;F
278;Milan Petakovi;M
279;Eero Olavi Kivel;M
280;Niyazi Sel;M
281;Dominique Pegg;F
282;Miroslav Menc;M
283;"Kenneth A. J. ""Ken"" Lester";M
284;Oskar Hardmeier;M
285;Abdelkhalek El-Banna;M
286;Jean-Pierre Brol Cardenas;M
287;Denis Victor Black;M
288;Marianne Adam;F
289;Reid Hayston Hamilton;M
290;"Edvard ""Eetu"" Huupponen";M
291;Elta Cartwright (-Stromberg, -Henricksen);F
292;Lloyd Bowen Koch;M
293;Axel Gustaf Estlander;M
294;Danielle Nicole Page;F
295;Andr Vairolatto;M
296;Jean-Jacques Boisson;M
297;Edmond Bailly;M
298;Georges Firmenich;M
299;Jean-Elie Vzien;M
300;Paul Parisel;M
301;Rafa Fedaczyski;M
302;Surella Morales Rosillo;F
303;Artyom Yuryevich Lobuzov;M
304;Nils Gustav Henry Carlsson;M
305;Jost Schmann-Finck;M
306;Stefanie Horn;F
307;"Kenneth Roy ""Ken"" Finch";M
308;Xavier Garca Gadea;M
309;Bohdan Viktorovych Bondarenko;M
310;Seiki Nose;M
311;Oualid Ben Amor;M
312;Rudolph Xavier Mirander;M
313;Bertrand de Montaudoin;M
314;Im Yeong-Seop;M
315;Erwin Koppe;M
316;Alessandro de Matos;M
317;Chov Sotheara;F
318;Scott Philip Johnson;M
319;Sandrine Ilendou;F
320;Ada Turci;F
321;mile Duhamel;M
322;Dorrit Gosmer Kristensen (-Nrbge);F
323;Tibor Kincses;M
324;Kevin James Rigby;M
325;Jos lvarez Crespo;M
326;Georgios Khatziandreou;M
327;Nelson Abelardo Solorzano Aponte;M
328;Vichan Choocherd;M
329;Anders Ingemar Btemyr;M
330;Charles Edward Smith, IV;M
331;Choe Son-Yong;F
332;Milo epanovi;M
333;Nataliya Mykolavna Hrygor'ieva (Dorofeieva-);F
334;Jos Luis Ballester Tuliesa;M
335;Ali Reza Haghi;M
336;Hernn Schuler;M
337;Roberta Del Core;F
338;Karen Shammas;F
339;Stefan Schrer;M
340;Istvn Srkzi;M
341;Hendrik Jan Bekkenk;M
342;Gyrgy Bakos;M
343;Mara Roco Ros Prez;F
344;Eric Joseph Griffin;M
345;Sergio Sorrentino;M
