275;Canoeing Men's Folding Kayak Doubles, 10 kilometres;11
276;Rowing Men's Coxless Fours;19
277;Athletics Women's Javelin Throw;10
278;Badminton Men's Doubles;26
279;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards;7
280;Shooting Men's Free Pistol, 50 metres, Team;7
281;Weightlifting Men's Middleweight;27
282;Art Competitions Mixed Painting, Drawings And Water Colors;48
283;Gymnastics Men's Pommelled Horse;4
284;Boxing Men's Lightweight;39
285;Shooting Mixed Trap;7
286;Modern Pentathlon Women's Individual;29
287;Athletics Men's 10,000 metres;10
288;Diving Women's Springboard;44
289;Judo Women's Half-Heavyweight;8
290;Rugby Men's Rugby;47
291;Archery Men's Team;1
292;Cycling Women's Mountainbike, Cross-Country;40
293;Athletics Men's All-Around Championship;10
294;Diving Women's Synchronized Springboard;44
295;Shooting Men's Military Rifle, Prone, 300 metres;7
296;Wrestling Men's Featherweight, Greco-Roman;5
297;Swimming Men's 440 Yard Breaststroke;34
298;Taekwondo Men's Heavyweight;6
299;Shooting Women's Trap;7
300;Weightlifting Men's Middle-Heavyweight;27
301;Boxing Men's Featherweight;39
302;Weightlifting Women's Lightweight;27
303;Table Tennis Women's Singles;12
304;Rugby Sevens Women's Rugby Sevens;42
305;Boxing Men's Super-Heavyweight;39
306;Equestrianism Men's Dressage, Individual;24
307;Athletics Women's 10,000 metres;10
308;Cycling Men's Road Race, Team;40
309;Sailing Mixed One Person Dinghy;15
310;Swimming Men's 100 yard Freestyle;34
311;Swimming Women's 100 metres Breaststroke;34
312;Athletics Women's Triple Jump;10
313;Weightlifting Men's Featherweight;27
314;Athletics Women's 3,000 metres Steeplechase;10
315;Badminton Men's Singles;26
316;Swimming Men's 100 metres Backstroke;34
317;Rowing Men's Quadruple Sculls;19
318;Wrestling Men's Light-Flyweight, Greco-Roman;5
319;Swimming Women's 100 metres Backstroke;34
320;Golf Men's Individual;21
321;Gymnastics Men's Individual All-Around, Apparatus Work;4
322;Taekwondo Men's Welterweight;6
323;Shooting Men's Unknown Event;7
324;Cycling Men's 5,000 metres;40
325;Cycling Women's Points Race;40
326;Rowing Women's Single Sculls;19
327;Athletics Men's Javelin Throw, Freestyle;10
328;Judo Men's Middleweight;8
329;Archery Men's Target Archery, 28 metres, Individual;1
330;Taekwondo Men's Flyweight;6
331;Shooting Men's Air Rifle, 10 metres;7
332;Canoeing Men's Kayak Fours, 1,000 metres;11
333;Figure Skating Men's Singles;35
334;Tennis Men's Singles;16
335;Swimming Men's 50 metres Freestyle;34
336;Archery Men's Pole Archery, Small Birds, Team;1
337;Athletics Men's 3,000 metres Steeplechase;10
338;Swimming Women's 400 metres Individual Medley;34
339;Weightlifting Men's Heavyweight II;27
340;Figure Skating Women's Singles;35
341;Cycling Men's Points Race;40
342;Sailing Women's Three Person Keelboat;15
343;Wrestling Men's Featherweight, Freestyle;5
344;Canoeing Women's Kayak Doubles, 500 metres;11
345;Fencing Men's Sabre, Individual;41
346;Archery Men's Target Archery, 33 metres, Individual;1
347;Shooting Women's Double Trap;7
348;Rowing Women's Coxed Quadruple Sculls;19
349;Athletics Men's 800 metres;10
350;Gymnastics Men's Horizontal Bar;4
351;Wrestling Women's Heavyweight, Freestyle;5
352;Shooting Men's Military Rifle, Standing, 300 metres;7
353;Art Competitions Mixed Sculpturing;48
354;Athletics Men's Shot Put;10
355;Equestrianism Men's Jumping, Team;24
356;Cycling Men's 1/2 mile;40
357;Wrestling Men's Flyweight, Greco-Roman;5
358;Shooting Men's Running Target, Double Shot;7
